symbol,code,year,quarter,as_of_date,name,revenue,gross_profit,operating_income,pretax_income,tax_expense,net_income_parent,eps,source_endpoint,current_assets,current_liabilities,assets,liabilities,equity,book_value_per_share,source_endpoint_balance,tax_rate,nopat,invested_capital_proxy,roic_proxy,roe,roa,debt_to_equity,gross_margin,operating_margin,net_margin,revenue_growth,pe,pb,eva_like_score
1101.TW,1101,115.0,1.0,2026-06-04,台泥,33168148.0,6208390.0,2792191.0,2132735.0,927996.0,718189.0,0.1,t187ap06_L_ci,184722314.0,82516661.0,597615286.0,292869670.0,304745616.0,31.39,t187ap07_L_ci,0.4,1675314.5999999999,515098625.0,0.003252415204952255,0.002356683615097518,0.001201758082205414,0.9610299693367861,0.18717927814359728,0.0841829034289162,0.021652972604922046,,,,25.194282517309603
1102.TW,1102,115.0,1.0,2026-06-04,亞泥,14829491.0,1928135.0,1184173.0,2141327.0,350025.0,1887022.0,0.56,t187ap06_L_ci,94593171.0,73132379.0,329731256.0,128784897.0,200946359.0,49.95,t187ap07_L_ci,0.16346172256736127,990606.0416022402,256598877.0,0.0038605236826591417,0.009390675249806343,0.005722909083268709,0.6408919158371016,0.13002030885618393,0.07985257214829558,0.12724792779468966,,,,28.278175073393058
1103.TW,1103,115.0,1.0,2026-06-04,嘉泥,688370.0,145582.0,15792.0,68393.0,17068.0,51804.0,0.08,t187ap06_L_ci,9362513.0,3870134.0,32757303.0,14017768.0,18739535.0,27.56,t187ap07_L_ci,0.24955770327372684,11850.984749901305,28887169.0,0.00041025081931363037,0.002764422916577172,0.0015814488756904072,0.7480317948124113,0.21148800790272673,0.02294115083458024,0.07525603962985022,,,,21.107761832930592
1104.TW,1104,115.0,1.0,2026-06-04,環泥,1759047.0,491646.0,285740.0,347360.0,56881.0,284208.0,0.41,t187ap06_L_ci,7669095.0,4410523.0,31541057.0,5780531.0,25760526.0,36.38,t187ap07_L_ci,0.16375230308613542,238949.41691616765,27130534.0,0.008807398222097938,0.011032693975270536,0.009010731631473225,0.22439491336473485,0.2794956587288458,0.16244023042022185,0.16156930428806052,,,,49.377178399389805
1108.TW,1108,115.0,1.0,2026-06-04,幸福,980706.0,158238.0,88910.0,86131.0,17242.0,68889.0,0.17,t187ap06_L_ci,5834525.0,4480873.0,10345312.0,4923631.0,5421681.0,13.4,t187ap07_L_ci,0.20018344150189826,71111.69021606623,5864439.0,0.012125915235211114,0.012706206801912543,0.006658958183184809,0.9081373470700324,0.1613511082832164,0.09065917818387978,0.07024429339679782,,,,33.77574258210437
1109.TW,1109,115.0,1.0,2026-06-04,信大,855342.0,53309.0,-15946.0,-12152.0,3605.0,4151.0,0.01,t187ap06_L_ci,5601241.0,928832.0,11463030.0,1056245.0,10406785.0,24.81,t187ap07_L_ci,0.0,-15946.0,10534198.0,-0.0015137364989722046,0.0003988743881996217,0.0003621206609421767,0.10149580297853757,0.06232477769126268,-0.018642835263555396,0.0048530295484145525,,,,16.950943642509465
1110.TW,1110,115.0,1.0,2026-06-04,東泥,582643.0,83497.0,44070.0,33666.0,8657.0,25695.0,0.05,t187ap06_L_ci,2827051.0,1931603.0,12789768.0,3130316.0,9659452.0,16.62,t187ap07_L_ci,0.25714370581595675,32737.676884690787,10858165.0,0.003015028495578285,0.002660088791786532,0.002009027841630904,0.32406765932477327,0.14330730824879043,0.07563808369790764,0.044100761529787535,,,,26.658601675387434
1201.TW,1201,115.0,1.0,2026-06-04,味全,5001067.0,1370784.0,39544.0,115681.0,13929.0,101516.0,0.2,t187ap06_L_ci,6636593.0,6226099.0,18440986.0,10657178.0,7783808.0,15.36,t187ap07_L_ci,0.1204087101598361,34782.55796543944,12214887.0,0.0028475546245691377,0.013041945536169443,0.005504911722182317,1.3691470807090822,0.27409830742119634,0.00790711262216643,0.020298868221521528,,,,25.31922629081555
1203.TW,1203,115.0,1.0,2026-06-04,味王,1323768.0,456272.0,208493.0,249342.0,68578.0,116595.0,0.49,t187ap06_L_ci,5022031.0,1735171.0,10736920.0,3144376.0,7592544.0,27.39,t187ap07_L_ci,0.27503589447425625,151149.9412533789,9001749.0,0.0167911748320664,0.015356512915829002,0.010859259452431424,0.4141399773251232,0.3446767107227248,0.15749965250708584,0.0880781224504596,,,,56.57333843963234
1210.TW,1210,115.0,1.0,2026-06-04,大成,26901827.0,3784019.0,1180916.0,1208431.0,239406.0,788702.0,0.94,t187ap06_L_ci,32105270.0,38581024.0,76955549.0,42538320.0,34417229.0,30.06,t187ap07_L_ci,0.19811309044537917,946961.0816836046,38374525.0,0.024676815717812915,0.022915906449063637,0.010248799602482208,1.235960047800478,0.1406602979046739,0.04389724162600555,0.029317785739979667,,,,35.787979010406794
